datetime,model,kfold_iteration,accuracy,f1score,precision,recall,execution_time_seconds,features,dataset_size
Sat Jul  1 20:58:44 2023,FT-DPC (Logistic Regression),0,0.622,0.68	0.607	0.604	0.727	0.823	0.544	0.369	0.651	0.653	0.449	0.663,0.639	0.607	0.571	0.785	0.826	0.47	0.251	0.831	0.753	0.53	0.58,0.725	0.607	0.641	0.677	0.819	0.644	0.696	0.535	0.577	0.389	0.774,0.004362,DPC (gap_size=0),2409
Sat Jul  1 20:58:44 2023,FT-DPC (Logistic Regression),1,0.662,0.637	0.69	0.612	0.714	0.808	0.653	0.458	0.672	0.661	0.592	0.715,0.557	0.727	0.549	0.751	0.791	0.628	0.32	0.874	0.747	0.648	0.684,0.742	0.657	0.692	0.681	0.826	0.679	0.802	0.546	0.592	0.545	0.749,0.003357,DPC (gap_size=0),2783
Sat Jul  1 20:58:44 2023,FT-DPC (Logistic Regression),2,0.621,0.66	0.606	0.656	0.811	0.765	0.582	0.301	0.656	0.613	0.549	0.526,0.559	0.53	0.635	0.851	0.746	0.546	0.2	0.819	0.8	0.679	0.47,0.807	0.708	0.678	0.775	0.786	0.623	0.612	0.547	0.497	0.46	0.597,0.004809,DPC (gap_size=0),3465
Sat Jul  1 20:58:44 2023,FT-DPC (Logistic Regression),3,0.663,0.706	0.672	0.685	0.767	0.754	0.562	0.422	0.642	0.722	0.631	0.66,0.622	0.666	0.639	0.895	0.669	0.514	0.311	0.767	0.834	0.787	0.591,0.818	0.679	0.738	0.671	0.865	0.62	0.657	0.552	0.637	0.526	0.748,0.005625,DPC (gap_size=0),3256
Sat Jul  1 20:58:44 2023,FT-DPC (Logistic Regression),4,0.648,0.768	0.612	0.557	0.732	0.75	0.612	0.402	0.684	0.689	0.548	0.702,0.732	0.621	0.527	0.705	0.721	0.597	0.279	0.802	0.832	0.617	0.691,0.807	0.603	0.59	0.761	0.782	0.627	0.722	0.596	0.588	0.493	0.713,0.004868,DPC (gap_size=0),3278
Sat Jul  1 20:58:44 2023,FT-DPC-g1 (Logistic Regression),0,0.611,0.663	0.6	0.599	0.69	0.835	0.542	0.362	0.68	0.583	0.493	0.618,0.598	0.648	0.543	0.68	0.845	0.438	0.283	0.858	0.731	0.589	0.502,0.744	0.559	0.669	0.7	0.826	0.711	0.5	0.563	0.485	0.424	0.803,0.002445,DPC (gap_size=1),2409
Sat Jul  1 20:58:44 2023,FT-DPC-g1 (Logistic Regression),1,0.643,0.643	0.668	0.593	0.697	0.817	0.564	0.424	0.698	0.66	0.585	0.652,0.538	0.715	0.534	0.735	0.802	0.514	0.316	0.877	0.759	0.696	0.589,0.8	0.626	0.668	0.662	0.832	0.625	0.645	0.58	0.584	0.504	0.73,0.003874,DPC (gap_size=1),2783
Sat Jul  1 20:58:44 2023,FT-DPC-g1 (Logistic Regression),2,0.644,0.696	0.663	0.65	0.779	0.793	0.598	0.339	0.694	0.638	0.603	0.508,0.644	0.587	0.644	0.838	0.765	0.587	0.229	0.863	0.797	0.711	0.419,0.757	0.761	0.655	0.727	0.823	0.609	0.655	0.58	0.532	0.523	0.644,0.003727,DPC (gap_size=1),3465
Sat Jul  1 20:58:44 2023,FT-DPC-g1 (Logistic Regression),3,0.662,0.688	0.682	0.684	0.824	0.713	0.626	0.4	0.617	0.665	0.656	0.667,0.615	0.666	0.625	0.885	0.652	0.584	0.287	0.784	0.814	0.794	0.581,0.781	0.699	0.755	0.771	0.788	0.673	0.659	0.509	0.562	0.56	0.782,0.00375,DPC (gap_size=1),3256
Sat Jul  1 20:58:44 2023,FT-DPC-g1 (Logistic Regression),4,0.644,0.757	0.668	0.54	0.74	0.766	0.614	0.4	0.708	0.649	0.509	0.647,0.742	0.678	0.48	0.805	0.779	0.557	0.282	0.812	0.772	0.584	0.591,0.773	0.658	0.616	0.684	0.753	0.683	0.689	0.627	0.56	0.451	0.715,0.004104,DPC (gap_size=1),3278
