datetime,model,kfold_iteration,accuracy,f1score,precision,recall,execution_time_seconds,features,dataset_size
Sat Jul 15 19:23:38 2023,BLAST,0,0.768,0.746	0.787,0.681	0.856,0.825	0.729,15.391659,PROTEINSEQ,734
Sat Jul 15 19:23:38 2023,BLAST,1,0.85,0.851	0.85,0.854	0.846,0.847	0.853,16.408494,PROTEINSEQ,754
Sat Jul 15 19:23:38 2023,BLAST,2,0.759,0.73	0.781,0.654	0.864,0.827	0.714,19.065126,PROTEINSEQ,762
Sat Jul 15 19:23:38 2023,BLAST,3,0.714,0.658	0.754,0.552	0.876,0.816	0.661,18.960074,PROTEINSEQ,772
Sat Jul 15 19:23:38 2023,BLAST,4,0.706,0.655	0.744,0.557	0.856,0.794	0.659,17.963506,PROTEINSEQ,776
Sat Jul 15 19:23:38 2023,PVP-SVM (SVM),0,0.729,0.657	0.776,0.52	0.937,0.893	0.662,0.960463,DPC (gap_size=0)	AAC	ATC	CTD	PCP,734
Sat Jul 15 19:23:38 2023,PVP-SVM (SVM),1,0.846,0.828	0.861,0.743	0.95,0.936	0.787,1.408244,DPC (gap_size=0)	AAC	ATC	CTD	PCP,754
Sat Jul 15 19:23:38 2023,PVP-SVM (SVM),2,0.73,0.652	0.779,0.507	0.953,0.915	0.659,1.031634,DPC (gap_size=0)	AAC	ATC	CTD	PCP,762
Sat Jul 15 19:23:38 2023,PVP-SVM (SVM),3,0.642,0.471	0.73,0.319	0.966,0.904	0.586,1.190865,DPC (gap_size=0)	AAC	ATC	CTD	PCP,772
Sat Jul 15 19:23:38 2023,PVP-SVM (SVM),4,0.66,0.518	0.737,0.366	0.954,0.888	0.601,1.160462,DPC (gap_size=0)	AAC	ATC	CTD	PCP,776
Sat Jul 15 19:23:38 2023,ToxinFinder (FFNN),0,0.76,0.719	0.791,0.613	0.907,0.869	0.701,0.137006,DPC (gap_size=0)	DPC (gap_size=2),734
Sat Jul 15 19:23:38 2023,ToxinFinder (FFNN),1,0.78,0.794	0.764,0.846	0.714,0.747	0.823,0.178538,DPC (gap_size=0)	DPC (gap_size=2),754
Sat Jul 15 19:23:38 2023,ToxinFinder (FFNN),2,0.718,0.667	0.755,0.564	0.871,0.814	0.667,0.116236,DPC (gap_size=0)	DPC (gap_size=2),762
Sat Jul 15 19:23:38 2023,ToxinFinder (FFNN),3,0.655,0.572	0.711,0.461	0.85,0.754	0.612,0.156543,DPC (gap_size=0)	DPC (gap_size=2),772
Sat Jul 15 19:23:38 2023,ToxinFinder (FFNN),4,0.702,0.646	0.743,0.544	0.861,0.796	0.654,0.126558,DPC (gap_size=0)	DPC (gap_size=2),776
Sat Jul 15 19:23:38 2023,ToxinFinder (RNN),0,0.729,0.682	0.764,0.58	0.877,0.826	0.676,0.381533,DPC (gap_size=0),734
Sat Jul 15 19:23:38 2023,ToxinFinder (RNN),1,0.801,0.795	0.807,0.769	0.833,0.822	0.783,0.374814,DPC (gap_size=0),754
Sat Jul 15 19:23:38 2023,ToxinFinder (RNN),2,0.701,0.65	0.739,0.556	0.845,0.782	0.656,0.377734,DPC (gap_size=0),762
Sat Jul 15 19:23:38 2023,ToxinFinder (RNN),3,0.659,0.582	0.713,0.474	0.845,0.753	0.616,0.373836,DPC (gap_size=0),772
Sat Jul 15 19:23:38 2023,ToxinFinder (RNN),4,0.669,0.616	0.709,0.531	0.807,0.733	0.632,0.574937,DPC (gap_size=0),776
Sat Jul 15 19:23:38 2023,Baseline Model - Logistic Regression,0,0.74,0.706	0.767,0.624	0.856,0.812	0.695,0.000762,DPC (gap_size=0),734
Sat Jul 15 19:23:38 2023,Baseline Model - Logistic Regression,1,0.712,0.702	0.721,0.679	0.745,0.727	0.699,0.001152,DPC (gap_size=0),754
Sat Jul 15 19:23:38 2023,Baseline Model - Logistic Regression,2,0.566,0.395	0.661,0.283	0.848,0.651	0.542,0.00113,DPC (gap_size=0),762
Sat Jul 15 19:23:38 2023,Baseline Model - Logistic Regression,3,0.61,0.484	0.687,0.365	0.855,0.716	0.574,0.001381,DPC (gap_size=0),772
Sat Jul 15 19:23:38 2023,Baseline Model - Logistic Regression,4,0.617,0.511	0.686,0.399	0.835,0.708	0.582,0.00107,DPC (gap_size=0),776
